"Session ID","Session Title","Date","Time Start","Time End","Room/Location","Schedule Track (Optional)","Description (Optional)"
"13654154","B: Sustainability in Agriculture","05/17/2016","10:30AM","12:00PM","Phoenix Renaissance Downtown","","Session Chair: Alissa Kendall<br>
<ul>
	<li>Diary Reading of Grass Root Level Institutions as an Ethnographic Tool to Locate Participation, Empowerment and Sustainability: Story of a Farmers' Self-help Group (SHG) in South India (Kachumbron, Mini)</li>
	<li>From Life Cycle Assessment to Crop Management Support – A Case Study from India (Frank, Markus)</li>
	<li>The Future of Sustainable Food Systems - Technological Optimism Vs. Environmental Purism (Berardy, Andrew James; Costello, Christine; Seager, Thomas P.)</li>
	<li>Robust Optimization Evaluation of Reliance on Locally Produce Foods (Dundar, Bayram; McGarvey, Ronald G.; Costello, Christine)</li>
</ul>"
"13708302","A: Education in Sustainability Science and Engineering II","05/18/2016","10:30AM","12:00PM","Phoenix Renaissance Downtown","","Session Chair: Sandy Rotter<br>
<ul>
	<li>The GREEN Program: Unique perspective on the nexus between sustainability education and industry readiness (Halligan, T. Brady)</li>
	<li>Modeling Sociological, Ecological, and Technological Systems (sets) for 3rd to 6th Grade Students (Najari, Navid)</li>
	<li>The Empathic Engineer (Vortherms, Kaitlin Sarah; Seager, Thomas; Tracy, Sarah; Spierre Clark, Susan; Camilla, Jensen; Margaret, Hinrichs)</li>
</ul>"
"13654168","B: Biofuels","05/17/2016","04:00PM","05:30PM","Phoenix Renaissance Downtown","","Session Chair: Christine Costello<br>
<ul>
	<li>Commercial-scale Biosugar Production Using Various Biochemical Conversion Pathways, Biomass Types, Co-products, and Siting Contexts: Integrating Technical, Financial and Environmental Feasibility Analyses (Reeb, Carter W.; Gonzalez, Ronalds; Kelley, Steve; Venditti, Richard Arthur)</li>
	<li>Effects of System Design and Co-product Treatment Strategies on the Life Cycle Performance of Biofuels from Microalgae (Zhang, Yizhen; Kendall, Alissa)</li>
	<li>Regional land and water use impacts due to Canola (Brassica rapa subsp.) biodiesel production in California (Winans, Kiara; Yeo, Boon-Ling; Kendall, Alissa; Kaffka, Steve)</li>
	<li>Comparative life cycle assessment of GHG emissions in the EOR process utilizing CO2 from a corn-based ethanol plant with CCS and a conventional pulverized coal power plant with post-combustion CCS technology. (Mohammad Abotalib &amp; Zhao Fu)</li>
</ul>"
"13645797","A: Decision Support for Buildings and Infrastructure","05/16/2016","04:00PM","05:30PM","Phoenix Renaissance Downtown","","Session Chair: Jeremy Gregory<br>
<ul>
	<li>Developing an integrated multi-criteria decision framework for Multi-Hazard Resilient and Sustainable Buildings (Mirzaee, Sahar; Ruth, Matthias)</li>
	<li>Evaluating Sustainability of Buildings using Multi-Criteria Decision Tools (Rajagopalan, Neethi; Venditti, Richard; Kelley, Stephen)</li>
	<li>Modeling Interdependencies of Infrastructure Systems in the Institutional Analysis and Development Framework  (Oh, Young Joon; Janssen, Marco A.; Anderies, John M.)</li>
</ul>"
"13708309","B: Impacts of Buildings","05/18/2016","10:30AM","12:00PM","Phoenix Renaissance Downtown","","Session Chair: Shauhrat Choprat<br>
<ul>
	<li>Early-Design Life Cycle Assessment of Buildings (Hester, Joshua; Miller, T. Reed; Gregory, Jeremy; Kirchain, Randy)</li>
	<li>Determining the Requirements for Building-Scale Industrial Symbiosis (Mulrow, John M.S.; Derrible, Sybil; Ashton, Weslynne; Chopra, Shauhrat)</li>
	<li>Assessing the Value of Information in Residential Building Simulation (Glasgo, Brock Philip; Azevedo, Ines Lima; Hendrickson, Chris)</li>
	<li>Parametric Life Cycle Assessment of Natural Gas-based Combined Cooling, Heating, and Power for Decentralized Building Energy Systems (Lee, Dong-Yeon; Thomas, Valerie M.)</li>
</ul>"
"13654170","C: Energy Storage and Lithium Ion Batteries","05/17/2016","04:00PM","05:30PM","Phoenix Renaissance Downtown","","Session Chair: Tom Theis<br>
<ul>
	<li>Physical and Chemical Degradation of Lithium Ion Batteries under Landfill Disposal Conditions (Collins, Kayla; Bosley, Macey; Anctil, Annick; Kennedy, Marian; Powell, Brian)</li>
	<li>Evaluation of end-of-life management options for lithium-ion batteries from environmental, economic, and policy perspectives (Richa, Kirti; Babbitt, Callie; Gaustad, Gabrielle)</li>
	<li>Cradle-to-Gate Greenhouse Gas Emissions from a Mass-Produced EV Lithium-Ion Battery (Kim, Hyung Chul; Wallington, Timothy J; Arsenault, Renata; Bae, Chulheung)</li>
	<li>Sustainability Assessment Algorithm for Green Energy Storage in Grid Applications (Arbabzadeh, Maryam; Johnson, Jeremiah; Keoleian, Gregory)</li>
</ul>"
"13654167","A: Advances in LCA and Assessment Methods","05/17/2016","04:00PM","05:30PM","Phoenix Renaissance Downtown","","Session Chair: Seung-Jin Lee<br>
<ul>
	<li>Based on the Allocation Method Selected, We Should Do What?  (Kreiger, Todd)</li>
	<li>On the use of normalization for comparative LCAs (Prado, Valentina; Wender, Ben; Seager, Thomas Payson)</li>
	<li>Modeling End of Life in LCA using an ideal-world approach (Laurin, Lise; Ayer, Nathan)</li>
	<li>Data-driven characterization of uncertainty in LCA: the case of use-phase variation in domestic air conditioning (Ross, Stephen; Cheah, Lynette)</li>
</ul>"
"13654162","B: Transportation & Biofuels","05/17/2016","02:00PM","03:30PM","Phoenix Renaissance Downtown","","Session Chair: Hua Cai<br>
<ul>
	<li>Life Cycle Cost Optimization of a Wireless Charging Electric Transit Bus System (Bi, Zicheng; Keoleian, Gregory A.)</li>
	<li>Investigation of Alternative Fuel Vehicle's Role in Achieving a Net Zero Energy Building (Alirezaei, Mehdi; Noori, Mehdi; Tatari, Omer)</li>
	<li>Creating a Sustainable Supply Chain from the Bottom-Up: Life Cycle and Resilience Assessments for Aviation Biofuels (Collier, Zachary A.; Connelly, Elizabeth B.; Polmateer, Thomas L.; Lambert, James H.)</li>
	<li><span>Ramifications of U.S. Auto Industry's Response to CAFE Standards: Will </span><span>U.S. Attain 2025 Greenhouse Gas Emissions Goals? (Meffer, </span><span>Jessica Zielinski; Andreucci, Rebecca K.; Aktas</span>, Jon B.)</li>
</ul>"
"13653862","A: Decision Support for Sustainability in Materials and Electronics","05/17/2016","08:30AM","10:00AM","Phoenix Renaissance Downtown","","Session Chair: Matt Eckelman<br>
<ul>
	<li>Evaluating opportunities to improve material and energy impacts in commodity supply chains (Hanes, Rebecca Jan; Carpenter, Alberta)</li>
	<li>Multi-criteria decision support for sustainable material choices: An application in the shipping sector (Niekamp, Stefanie; Bharadwaj, Ujjwal R; Sadhukhan, Jhuma; Chryssanthopoulos, Marios R)</li>
	<li>Nano-silver shirts: a case study for sustainability (Hicks, Andrea L)</li>
	<li>Sustainable Nanomanufacturing: Using Multi-criteria Decision Making Methods for Tradeoff Assessment (Namin, Amirtaher Abdollahi; Erbis, Serkan; Kamarthi, Sagar; Isaacs, Jacqueline)</li>
</ul>"
"13708314","C: Solar Photovoltaic and the Environment","05/18/2016","10:30AM","12:00PM","Phoenix Renaissance Downtown","","Session Chair: Annick Anctil<br>
<ul>
	<li>Introduction of EV to reduce load variability of a campus with high PV penetration: Case Study for a large University Campus (Rawal, Chetan J; Reddy, T Agami)</li>
	<li>Complementing increasing module efficiencies with manufacturing improvements: An environmental necessity for terawatt scale photovoltaic deployments (Ravikumar, Dwarakanath; Wender, Ben; Seager, Thomas; Fraser, Matthew; Tao, Meng)</li>
	<li>Life Cycle Assessment of TiO2 Nanotube Solid-State Perovskite Solar Cells (Zhang, Jingyi; Gao, Xianfeng; Deng, Yelin; Yuan, Chris)</li>
</ul>"
